Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1967,5667756627.92093
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1968,7076465299.811411
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1969,8337423312.883435
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1970,9150684931.50685
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1971,9333536369.945675
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1972,10997590361.445784
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1973,16273253012.048193
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1974,25802409638.55422
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1975,30463855421.68675
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1976,37269156626.50603
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1977,45808915662.650604
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1978,51455719075.825424
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1979,51400186342.88893
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1980,72482337397.44394
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1981,85518233419.04785
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1982,90158449294.99205
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1983,81052283383.71552
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1984,84853700027.65103
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1985,85289488375.44347
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1986,79954072544.52792
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1987,75929617557.75212
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1988,84300174485.79732
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1989,94451427876.66281
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1990,106140727333.63564
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1991,116621996217.1334
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1992,128026966579.96375
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1993,158006700301.5332
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1994,176892143931.50528
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1995,202132028723.11533
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1996,227369679374.9733
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1997,215748998609.635
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1998,95445547872.71503
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1999,140001351215.46185
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2000,165021012077.80963
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2001,160446947784.90857
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2002,195660611165.18344
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2003,234772463823.80835
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2004,256836875295.4519
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2005,285868619196.0848
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2006,364570515618.35693
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2007,432216737774.86053
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2008,510228634990.59827
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2009,539580085616.49194
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2010,755094157621.9355
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2011,892969104563.1713
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2012,917869913332.6486
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2013,912524136718.0182
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2014,890814755533.5369
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2015,860854232686.2139
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2016,931877364037.6975
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2017,1015618744159.7339
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2018,1042271532988.6317
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2019,1119099871350.1992
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2020,1059054842698.482
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2021,1186509691086.7307
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2022,1319076267310.162
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2023,1371171152331.155
